complexity,effort,size,doc_density,maintainability,has_bug,source_dataset
2.0,24116.87,32,0.8888888888888888,45.13,0,cm1
6.0,16963.26,41,0.94,43.05,0,cm1
5.0,1858.26,23,0.9523809523809523,53.0,0,cm1
2.0,869.68,8,0.0,64.63,0,cm1
4.0,7125.0,25,0.0,50.23,0,cm1
2.0,149.49,8,0.8571428571428571,68.82,0,cm1
3.0,7799.92,17,0.5,53.65,0,cm1
5.0,20172.82,38,0.8571428571428571,43.72,0,cm1
5.0,12009.6,31,0.47368421052631576,46.43,0,cm1
4.0,3185.02,21,0.0,53.17,0,cm1
2.0,1074.39,14,0.0,60.8,0,cm1
1.0,200.76,6,0.0,70.58,0,cm1
5.0,11829.84,29,0.0,48.13,0,cm1
3.0,5919.2,18,0.9166666666666666,53.58,0,cm1
11.0,35190.17,55,0.0,38.73,0,cm1
3.0,14671.27,47,0.0,42.31,0,cm1
6.0,11393.4,32,0.875,47.47,0,cm1
3.0,166215.79,32,0.8125,42.29,0,cm1
4.0,22126.47,38,0.0,44.28,0,cm1
2.0,1838.97,14,0.0,57.82,0,cm1
5.0,47876.6,60,0.6086956521739131,37.18,0,cm1
1.0,765.75,10,0.0,63.37,0,cm1
3.0,3223.83,16,0.375,55.45,0,cm1
2.0,871.59,12,0.0,61.11,0,cm1
2.0,1676.34,13,0.0,59.74,0,cm1
2.0,1752.37,16,0.0,57.47,0,cm1
4.0,9456.28,27,0.625,49.21,0,cm1
5.0,10420.79,31,0.8333333333333334,47.32,0,cm1
1.0,56.15,10,0.0,67.91,0,cm1
5.0,7919.03,37,0.9333333333333333,46.25,0,cm1
1.0,67.5,8,0.0,70.14,0,cm1
1.0,834.61,8,0.0,65.25,0,cm1
1.0,1284.34,9,0.8333333333333334,63.2,0,cm1
1.0,1160.35,9,0.0,64.01,0,cm1
1.0,56.15,7,0.0,71.97,0,cm1
4.0,6756.06,26,0.0,49.63,0,cm1
1.0,586.03,7,0.0,67.5,0,cm1
1.0,4767.45,14,0.0,56.92,0,cm1
1.0,217.03,9,0.0,67.37,0,cm1
1.0,577.18,11,0.0,63.73,0,cm1
6.0,9398.15,34,0.0,45.67,0,cm1
1.0,122.04,7,0.0,70.63,0,cm1
7.0,14529.3,31,0.9375,46.98,0,cm1
1.0,90.0,6,0.0,72.55,0,cm1
1.0,116.27,7,0.0,70.78,0,cm1
2.0,2168.23,15,0.0,56.88,0,cm1
1.0,2419.46,16,0.0,56.36,0,cm1
1.0,2855.37,19,0.0,54.69,0,cm1
29.0,285170.84,130,0.22413793103448276,24.02,0,cm1
4.0,13065.14,30,0.5,47.64,0,cm1
6.0,9260.02,34,0.0,45.57,0,cm1
6.0,59779.23,20,0.8571428571428571,49.01,0,cm1
2.0,3622.63,17,0.0,56.08,0,cm1
8.0,25900.42,26,0.0,46.69,0,cm1
1.0,392.28,10,0.0,65.14,0,cm1
1.0,109.62,6,0.0,71.95,0,cm1
1.0,82.35,8,0.0,69.73,0,cm1
17.0,129374.54,93,0.8088235294117647,30.76,0,cm1
25.0,307757.08,128,0.6373626373626373,24.39,0,cm1
3.0,6449.49,28,0.0,48.83,0,cm1
2.0,2943.55,19,0.0,54.36,0,cm1
2.0,2515.03,19,0.0,54.68,0,cm1
3.0,2570.73,21,0.0,53.43,0,cm1
17.0,198396.43,154,0.8561151079136691,24.01,0,cm1
18.0,126046.47,125,0.7936507936507936,27.36,0,cm1
2.0,786.33,14,0.0,60.72,0,cm1
30.0,170066.5,127,0.8478260869565217,24.36,0,cm1
1.0,368.04,12,0.0,62.02,0,cm1
2.0,4329.68,18,0.0,54.35,0,cm1
3.0,5232.17,20,0.0,52.62,0,cm1
4.0,15014.65,36,0.8666666666666667,45.0,0,cm1
32.0,78244.98,160,0.7333333333333333,22.85,0,cm1
10.0,37359.42,47,0.5384615384615384,39.1,0,cm1
1.0,31.02,6,0.0,74.55,0,cm1
4.0,13163.37,38,0.9210526315789473,44.34,0,cm1
1.0,150.57,12,0.0,63.18,0,cm1
1.0,246.7,12,0.0,62.56,0,cm1
1.0,246.7,9,0.0,65.28,0,cm1
2.0,23101.5,41,0.0,42.37,0,cm1
2.0,12512.17,30,0.0,46.99,0,cm1
1.0,49.13,6,0.0,73.83,0,cm1
5.0,6065.91,20,0.0,53.72,0,cm1
15.0,261640.64,149,0.9701492537313433,24.34,0,cm1
1.0,44.92,6,0.0,73.43,0,cm1
3.0,2723.97,16,0.9,55.49,0,cm1
1.0,943.51,15,0.0,58.42,0,cm1
1.0,4622.3,13,0.0,58.24,0,cm1
1.0,157.4,6,0.0,71.32,0,cm1
2.0,1404.34,14,0.0,59.47,0,cm1
3.0,8964.95,27,0.0,48.26,0,cm1
2.0,2850.0,19,0.0,54.49,0,cm1
2.0,12075.0,21,0.5,51.84,0,cm1
1.0,161.94,6,0.0,71.44,0,cm1
3.0,1418.49,16,0.0,57.44,0,cm1
9.0,57931.89,55,0.625,38.14,0,cm1
1.0,17.41,6,0.0,75.43,0,cm1
1.0,142.33,9,0.0,66.49,0,cm1
19.0,100429.38,69,0.0,33.25,0,cm1
25.0,127275.78,138,0.9830508474576272,24.26,0,cm1
16.0,28729.02,72,0.95,34.95,0,cm1
1.0,12.0,6,0.0,76.57,0,cm1
1.0,23.22,6,0.0,75.43,0,cm1
1.0,67.5,6,0.0,72.87,0,cm1
1.0,156.61,11,0.0,64.1,0,cm1
4.0,4586.97,23,0.9583333333333334,51.57,0,cm1
1.0,860.54,17,0.0,56.6,0,cm1
13.0,12780.02,60,0.7894736842105263,38.71,0,cm1
5.0,4764.71,32,0.0,48.59,0,cm1
3.0,1531.0,16,0.0,58.2,0,cm1
2.0,18268.21,42,0.0,42.48,0,cm1
2.0,3771.09,14,0.6842105263157895,57.11,0,cm1
3.0,3793.04,27,0.0,49.75,0,cm1
1.0,639.44,8,0.0,66.52,0,cm1
1.0,117.0,7,0.0,70.29,0,cm1
5.0,5674.43,31,0.8,49.61,0,cm1
1.0,186.03,8,0.0,68.96,0,cm1
1.0,1256.67,11,0.0,62.69,0,cm1
2.0,259.02,13,0.0,62.34,0,cm1
1.0,95.1,6,0.0,72.38,0,cm1
2.0,4842.06,22,0.0,52.07,0,cm1
7.0,12888.24,29,0.0,48.21,0,cm1
1.0,7409.59,9,0.0,61.1,0,cm1
4.0,16447.5,16,0.0,53.38,0,cm1
15.0,150670.96,92,0.6029411764705882,31.18,0,cm1
4.0,5680.1,18,0.6111111111111112,54.1,0,cm1
6.0,21576.47,36,0.7096774193548387,44.22,0,cm1
1.0,85.59,5,0.5,74.43,0,cm1
3.0,4807.12,22,0.0,52.57,0,cm1
1.0,45.24,3,0.0,80.65,0,cm1
4.0,29117.23,30,0.6875,45.81,0,cm1
1.0,17.41,5,0.5,77.16,0,cm1
4.0,15315.78,16,0.625,53.79,0,cm1
4.0,15315.78,15,0.5882352941176471,54.4,0,cm1
10.0,81653.73,40,0.4696969696969697,39.79,0,cm1
2.0,7863.73,12,0.6363636363636364,57.19,0,cm1
1.0,31.02,5,0.875,76.28,0,cm1
6.0,86774.3,44,0.6086956521739131,39.56,0,cm1
5.0,12163.87,31,0.0,46.73,0,cm1
6.0,10047.02,22,0.65625,50.99,0,cm1
4.0,9617.77,20,0.8666666666666667,51.31,0,cm1
6.0,11951.03,27,0.8,47.63,0,cm1
1.0,605.07,6,0.5,68.31,0,cm1
2.0,11735.7,25,0.6666666666666666,49.07,0,cm1
2.0,2021.97,10,0.4444444444444444,61.71,0,cm1
1.0,23.22,5,0.5,77.16,0,cm1
3.0,2294.05,14,0.6666666666666666,57.61,0,cm1
4.0,5850.56,20,0.8,52.03,0,cm1
7.0,11789.43,28,0.8181818181818182,47.13,0,cm1
1.0,122.04,3,0.0,78.66,0,cm1
12.0,47644.35,45,0.58,39.51,0,cm1
2.0,632.28,7,0.0,67.23,0,cm1
2.0,1569.59,11,0.5,62.19,0,cm1
2.0,2489.43,11,0.5,60.79,0,cm1
8.0,6655.21,27,0.6111111111111112,48.9,0,cm1
2.0,693.33,10,0.75,63.79,0,cm1
2.0,910.48,9,0.5,64.61,0,cm1
2.0,1703.56,9,0.5,63.03,0,cm1
3.0,2158.18,20,0.0,56.04,0,cm1
10.0,93428.15,98,0.9047619047619048,30.47,0,cm1
25.0,128457.87,172,0.7368421052631579,21.63,0,cm1
1.0,1221.78,6,0.0,66.54,0,cm1
4.0,31093.83,43,0.9666666666666667,41.36,0,cm1
2.0,22153.96,36,0.7380952380952381,45.04,0,cm1
4.0,4476.07,21,0.3125,51.9,0,cm1
1.0,473.14,6,0.7777777777777778,69.14,0,cm1
1.0,233.13,5,0.0,72.61,0,cm1
1.0,239.86,5,0.0,72.53,0,cm1
1.0,1321.34,8,0.0,64.68,0,cm1
1.0,965.66,6,0.0,67.8,0,cm1
4.0,9202.35,16,0.5,54.46,0,cm1
3.0,1740.67,14,0.0,59.02,0,cm1
19.0,160516.7,88,0.8947368421052632,30.4,0,cm1
4.0,16907.83,29,0.46153846153846156,46.83,0,cm1
21.0,421634.86,60,0.6981132075471698,32.05,0,cm1
10.0,103609.98,52,0.6756756756756757,37.79,0,cm1
1.0,342.0,7,0.0,68.26,0,cm1
1.0,734.73,8,0.7142857142857143,64.99,0,cm1
1.0,4189.34,20,0.5714285714285714,52.54,0,cm1
6.0,16987.59,29,0.3,47.34,0,cm1
1.0,817.49,9,0.0,64.64,0,cm1
4.0,3172.85,15,0.0,56.85,0,cm1
2.0,2277.36,14,0.7777777777777778,58.07,0,cm1
3.0,1732.23,22,0.0,53.97,0,cm1
15.0,57670.7,63,0.0,36.25,0,cm1
2.0,1288.28,9,0.3333333333333333,63.15,0,cm1
2.0,1256.07,9,0.0,63.23,0,cm1
4.0,4624.0,17,0.5,54.9,0,cm1
3.0,337.48,9,0.0,65.85,0,cm1
2.0,3685.04,10,0.0,60.63,0,cm1
1.0,23.22,3,0.0,82.0,0,cm1
5.0,797.14,9,0.0,63.85,0,cm1
19.0,316115.55,101,0.6333333333333333,27.89,0,cm1
8.0,177559.52,29,0.17647058823529413,42.04,0,cm1
6.0,32187.18,22,0.7272727272727273,48.63,0,cm1
13.0,74089.87,106,0.0,30.0,0,cm1
3.0,5113.63,21,0.0,52.15,0,cm1
2.0,1181.93,10,0.0,62.44,0,cm1
3.0,17460.6,17,0.42857142857142855,52.75,0,cm1
3.0,4456.28,13,0.0,57.59,0,cm1
1.0,17.41,4,0.0,79.28,0,cm1
13.0,128629.96,49,0.0,37.83,0,cm1
14.0,113051.62,55,0.9583333333333334,36.65,0,cm1
5.0,14560.94,17,0.9090909090909091,52.93,0,cm1
5.0,15544.65,20,0.8333333333333334,51.15,0,cm1
9.0,167872.07,30,0.9230769230769231,43.19,0,cm1
15.0,305225.84,45,0.9411764705882353,37.39,0,cm1
10.0,73923.53,41,0.7272727272727273,40.51,0,cm1
8.0,33856.01,25,0.0,46.74,0,cm1
5.0,13319.21,22,0.6875,50.58,0,cm1
4.0,34405.27,41,0.0,42.14,0,cm1
6.0,43561.75,48,0.34210526315789475,39.8,0,cm1
9.0,4143.37,24,0.0,50.82,0,cm1
4.0,10795.37,25,0.0,50.19,0,cm1
23.0,194194.61,176,0.9433962264150944,21.89,0,cm1
2.0,526.99,10,0.0,64.78,0,cm1
9.0,63864.99,66,0.8387096774193549,35.69,0,cm1
4.0,12184.85,32,0.775,46.52,0,cm1
2.0,3750.81,18,0.0,54.41,0,cm1
1.0,39.3,3,0.0,80.4,0,cm1
3.0,3022.38,14,0.5714285714285714,58.21,0,cm1
4.0,14882.34,29,0.84,47.35,0,cm1
18.0,99929.77,104,0.9333333333333333,29.89,0,cm1
12.0,24543.69,68,0.9354838709677419,37.03,0,cm1
1.0,36.19,7,0.0,72.63,0,cm1
4.0,10140.57,21,0.8,51.33,0,cm1
2.0,518.63,10,0.0,63.8,0,cm1
3.0,3574.45,19,0.4375,53.75,0,cm1
1.0,127.89,8,0.0,69.22,0,cm1
1.0,109.62,8,0.0,69.22,0,cm1
2.0,2764.2,19,0.0,54.91,0,cm1
2.0,472.87,10,0.8571428571428571,64.32,0,cm1
1.0,971.37,11,0.0,61.8,0,cm1
1.0,342.66,9,0.0,66.19,0,cm1
1.0,99.66,7,0.0,70.78,0,cm1
1.0,1342.72,8,0.0,64.18,0,cm1
2.0,1717.22,15,0.0,58.31,0,cm1
2.0,1809.36,10,0.7894736842105263,62.28,0,cm1
1.0,81.0,6,0.0,72.87,0,cm1
6.0,16764.79,44,0.9411764705882353,42.7,0,cm1
1.0,859.9,8,0.0,65.16,0,cm1
2.0,2026.77,15,0.0,56.78,0,cm1
1.0,689.76,7,0.0,66.81,0,cm1
1.0,609.47,6,0.0,68.84,0,cm1
3.0,2648.68,15,0.0,58.76,0,cm1
13.0,63061.03,70,0.7142857142857143,34.51,0,cm1
4.0,7907.54,24,0.4,50.67,0,cm1
1.0,486.0,6,0.4,69.42,0,cm1
3.0,9514.39,12,0.5625,57.01,0,cm1
1.0,39.3,5,0.3333333333333333,75.56,0,cm1
1.0,1993.75,8,0.3333333333333333,64.25,0,cm1
2.0,2508.88,9,0.5,63.03,0,cm1
2.0,3972.03,9,0.5,62.34,0,cm1
4.0,13377.17,19,0.0,51.51,0,cm1
1.0,129.56,6,0.4,71.44,0,cm1
6.0,23858.84,25,0.0,47.68,0,cm1
3.0,3640.0,19,0.9,53.8,0,cm1
16.0,124313.16,76,0.37777777777777777,31.86,0,cm1
5.0,11259.34,35,0.0,44.31,0,cm1
3.0,2014.61,8,0.2222222222222222,63.96,0,cm1
1.0,542.77,14,0.0,58.81,0,cm1
1.0,822.39,7,0.3333333333333333,67.34,0,cm1
5.0,18381.79,27,0.7037037037037037,47.46,0,cm1
3.0,34384.39,20,0.4117647058823529,49.81,0,cm1
6.0,54539.1,27,0.2631578947368421,45.48,0,cm1
5.0,11135.5,25,0.0,49.63,0,cm1
96.0,2153690.63,423,0.673469387755102,0.15,0,cm1
5.0,14437.64,30,0.0,45.92,0,cm1
4.0,622.17,10,0.5,63.37,0,cm1
16.0,80843.05,49,0.2553191489361702,37.06,0,cm1
32.0,207526.23,85,0.3375,28.36,0,cm1
7.0,5681.26,8,0.11764705882352941,61.56,0,cm1
15.0,32401.84,50,0.7361111111111112,39.16,0,cm1
29.0,367446.53,165,0.34408602150537637,20.18,0,cm1
2.0,4686.53,17,0.0,53.96,0,cm1
4.0,3491.27,15,0.0,56.81,0,cm1
11.0,29416.66,61,0.5714285714285714,37.2,0,cm1
12.0,134469.0,63,0.375,34.46,0,cm1
3.0,6475.08,16,0.3333333333333333,54.91,0,cm1
13.0,16649.11,49,0.0,41.16,0,cm1
14.0,19394.56,52,0.0,40.2,0,cm1
7.0,16586.02,42,0.0,41.15,0,cm1
13.0,33677.25,62,0.6153846153846154,36.61,0,cm1
13.0,155431.03,65,0.3877551020408163,33.84,0,cm1
17.0,123948.13,75,0.375,32.23,0,cm1
2.0,211.89,8,0.0,68.23,0,cm1
2.0,657.1,8,0.0,65.84,0,cm1
1.0,24.38,4,0.0,78.25,0,cm1
4.0,3670.2,15,0.875,57.02,0,cm1
2.0,596.3,9,0.0,64.67,0,cm1
3.0,4371.1,13,0.8260869565217391,57.82,0,cm1
1.0,291.26,6,0.875,70.21,0,cm1
1.0,236.83,6,0.875,70.48,0,cm1
2.0,1950.69,15,0.0,58.23,0,cm1
1.0,432.0,9,0.0,65.58,0,cm1
1.0,10076.02,20,0.95,51.89,0,cm1
1.0,107.96,7,0.5,69.98,0,cm1
1.0,429.76,3,0.0,75.91,0,cm1
1.0,359.8,3,0.0,76.13,0,cm1
2.0,707.7,6,0.75,68.39,0,cm1
1.0,0.0,2,0.0,93.3,0,cm1
1.0,0.0,3,0.0,89.46,0,cm1
1.0,23.22,4,0.0,79.28,0,cm1
2.0,227.03,9,0.0,66.91,0,cm1
1.0,6261.24,16,0.0,55.31,0,cm1
1.0,178.31,4,0.25,74.99,0,cm1
1.0,663.06,5,0.5555555555555556,70.45,0,cm1
2.0,1713.0,9,0.7142857142857143,63.27,0,cm1
3.0,1732.23,18,0.0,55.88,0,cm1
10.0,21802.25,38,0.8918918918918919,43.73,0,cm1
6.0,4880.94,14,0.5,57.09,0,cm1
13.0,24047.21,47,0.6666666666666666,41.22,0,cm1
2.0,765.94,11,0.0,62.32,0,cm1
2.0,739.53,11,0.0,62.43,0,cm1
2.0,1373.5,11,0.6666666666666666,61.93,0,cm1
4.0,5170.32,21,0.7,51.77,0,cm1
4.0,5170.32,23,0.8333333333333334,50.91,0,cm1
3.0,1746.71,13,0.0,58.63,0,cm1
3.0,4129.37,21,0.0,52.71,0,cm1
3.0,3969.82,21,0.0,52.69,0,cm1
4.0,6780.12,22,0.0,51.09,0,cm1
8.0,16481.41,41,0.9,42.41,0,cm1
4.0,4591.91,22,0.0,52.72,0,cm1
3.0,913.77,9,0.0,65.05,0,cm1
10.0,8218.63,50,0.0,41.53,0,cm1
10.0,13084.38,29,0.0,47.1,0,cm1
10.0,7697.18,50,0.0,41.43,0,cm1
19.0,24306.94,29,0.0,43.72,0,cm1
1.0,521.24,9,0.0,64.92,0,cm1
1.0,241.06,6,0.0,69.96,0,cm1
7.0,28687.59,30,0.0,45.97,0,cm1
2.0,204.86,14,0.0,61.74,0,cm1
22.0,160995.7,56,0.0,34.58,0,cm1
3.0,32207.61,21,0.9090909090909091,49.17,0,cm1
1.0,3613.71,14,0.8,56.8,0,cm1
1.0,48.0,7,0.0,71.77,0,cm1
3.0,994.02,16,0.0,57.71,0,cm1
3.0,33504.61,22,0.8,48.43,0,cm1
4.0,4218.45,27,0.0,50.33,0,cm1
1.0,139.52,3,0.0,78.25,0,cm1
3.0,2369.07,12,0.0,59.55,0,cm1
4.0,17846.19,31,0.95,46.49,1,cm1
5.0,7914.68,29,0.8461538461538461,47.77,1,cm1
10.0,33930.43,71,0.8823529411764706,36.58,1,cm1
2.0,5493.37,15,0.0,55.97,1,cm1
6.0,18269.63,33,0.8108108108108109,45.09,1,cm1
4.0,166113.93,92,0.8679245283018868,30.05,1,cm1
7.0,38620.28,44,0.7,40.51,1,cm1
13.0,142535.33,143,0.8382352941176471,25.34,1,cm1
37.0,653537.1,196,0.9239130434782609,17.29,1,cm1
1.0,1439.2,12,0.0,60.89,1,cm1
30.0,324260.81,133,0.9680851063829787,24.28,1,cm1
3.0,8490.44,28,0.0,48.8,1,cm1
20.0,192513.32,91,0.8275862068965517,29.56,1,cm1
4.0,9840.36,41,0.0,44.17,1,cm1
20.0,150305.78,149,0.0,23.95,1,cm1
73.0,553518.63,411,0.8828125,4.42,1,cm1
15.0,88801.93,121,0.90625,27.47,1,cm1
20.0,220979.91,130,0.7386363636363636,25.77,1,cm1
12.0,16858.82,79,0.8478260869565217,35.36,1,cm1
9.0,38588.27,57,0.5384615384615384,38.64,1,cm1
7.0,18250.34,49,0.4,40.29,1,cm1
10.0,34816.7,58,0.5,39.07,1,cm1
3.0,15592.09,28,0.8461538461538461,47.57,1,cm1
3.0,1204.38,13,0.0,59.78,1,cm1
8.0,43721.41,71,0.8666666666666667,35.44,1,cm1
2.0,8872.37,22,0.95,51.12,1,cm1
5.0,5531.32,22,0.0,51.53,1,cm1
7.0,51324.87,59,0.5897435897435898,36.87,1,cm1
1.0,6732.92,19,0.75,52.72,1,cm1
24.0,123914.45,89,0.9393939393939394,30.33,1,cm1
4.0,12037.08,32,0.8888888888888888,46.94,1,cm1
11.0,83581.43,74,0.8,34.24,1,cm1
4.0,13060.92,32,0.0,47.31,1,cm1
18.0,218524.86,107,0.8902439024390244,28.61,1,cm1
3.0,4237.49,19,0.9166666666666666,53.2,1,cm1
3.0,2815.15,18,0.918918918918919,54.9,1,cm1
3.0,4871.43,22,0.7857142857142857,51.81,1,cm1
3.0,3474.19,20,0.9047619047619048,53.57,1,cm1
1.0,518.63,8,0.0,66.05,1,cm1
8.0,12685.78,44,0.9393939393939394,42.16,1,cm1
18.0,89412.4,91,0.8181818181818182,29.49,1,cm1
3.0,43785.9,47,0.8666666666666667,40.76,1,cm1
4.0,11241.58,24,0.875,49.96,1,cm1
11.0,141084.24,82,0.8676470588235294,32.27,1,cm1
2.0,977.69,10,0.9230769230769231,62.67,1,cm1
6.0,9078.38,28,0.7777777777777778,48.36,1,cm1
7.0,23029.1,72,0.16393442622950818,37.15,1,jm1
3.0,74202.67,190,0.18354430379746836,24.41,1,jm1
4.0,10297.3,37,0.034482758620689655,45.81,1,jm1
2.0,7135.87,31,0.0,47.84,1,jm1
9.0,0.0,78,0.0,57.52,1,jm1
1.0,142.01,8,0.0,68.23,1,jm1
2.0,0.0,24,0.0,69.62,1,jm1
22.0,0.0,143,0.0,50.02,1,jm1
10.0,0.0,73,0.0,58.01,1,jm1
11.0,0.0,83,0.0,56.66,1,jm1
3.0,1150.68,12,0.0,60.49,1,jm1
4.0,12067.3,48,0.03333333333333333,42.89,1,jm1
8.0,0.0,68,0.0,58.95,1,jm1
22.0,0.0,138,0.0,50.36,1,jm1
1.0,54.0,10,0.0,68.03,1,jm1
49.0,938311.06,250,0.39826839826839827,13.19,1,jm1
8.0,47536.38,77,0.0,36.31,1,jm1
9.0,55961.02,85,0.0,34.06,1,jm1
17.0,69127.22,110,0.13829787234042554,29.97,1,jm1
6.0,23506.58,49,0.0,41.54,1,jm1
35.0,140300.03,187,0.006060606060606061,21.1,1,jm1
6.0,0.0,27,0.0,67.97,1,jm1
8.0,13824.9,38,0.0,44.66,1,jm1
43.0,237606.8,294,0.1553030303030303,14.01,1,jm1
3.0,5599.99,29,0.0,49.02,1,jm1
5.0,160969.13,160,0.08208955223880597,25.43,1,jm1
16.0,42683.63,94,0.2235294117647059,33.15,1,jm1
3.0,12140.27,48,0.02857142857142857,42.15,1,jm1
2.0,672.19,14,0.1111111111111111,59.94,1,jm1
6.0,9916.61,32,0.0,46.93,1,jm1
1.0,54.0,11,0.0,67.13,1,jm1
3.0,1062.25,20,0.23529411764705882,56.71,1,jm1
1.0,0.0,39,0.0,65.16,1,jm1
21.0,0.0,63,0.0,57.92,1,jm1
6.0,30254.54,78,0.11764705882352941,36.7,1,jm1
26.0,0.0,209,0.0,45.89,1,jm1
2.0,492.27,6,0.0,69.35,1,jm1
13.0,0.0,44,0.0,62.4,1,jm1
3.0,3756.37,24,0.0,53.02,1,jm1
2.0,1403.0,23,0.0,53.44,1,jm1
6.0,0.0,69,0.0,59.08,1,jm1
19.0,111762.93,148,0.056,25.54,1,jm1
20.0,43166.62,83,0.10144927536231885,33.64,1,jm1
4.0,8012.03,53,0.16279069767441862,42.72,1,jm1
15.0,0.0,97,0.0,54.64,1,jm1
2.0,2292.07,25,0.13043478260869565,51.38,1,jm1
110.0,0.0,466,0.0,27.0,1,jm1
27.0,0.0,110,0.0,51.84,1,jm1
19.0,144343.07,113,0.0891089108910891,28.14,1,jm1
9.0,46500.6,119,0.21,30.62,1,jm1
3.0,1939.44,15,0.0,57.6,1,jm1
10.0,0.0,44,0.0,62.8,1,jm1
55.0,0.0,124,0.0,46.94,1,jm1
1.0,151.35,8,0.0,68.16,1,jm1
27.0,0.0,162,0.0,48.17,1,jm1
27.0,117259.19,113,0.0,27.41,1,jm1
1.0,139.52,8,0.0,68.49,1,jm1
2.0,256.87,9,0.0,66.32,1,jm1
36.0,0.0,179,0.0,46.01,1,jm1
16.0,144911.31,171,0.06504065040650407,23.75,1,jm1
15.0,29873.71,77,0.06060606060606061,34.29,1,jm1
4.0,1467.19,12,0.0,60.07,1,jm1
9.0,10538.49,42,0.17647058823529413,43.42,1,jm1
1.0,1592.09,14,0.0,57.08,1,jm1
5.0,5627.15,19,0.0,54.43,1,jm1
8.0,45651.03,88,0.2676056338028169,34.54,1,jm1
2.0,995.75,13,0.0,58.83,1,jm1
4.0,4723.0,46,0.034482758620689655,45.0,1,jm1
30.0,119927.45,129,0.008928571428571428,26.03,1,jm1
1.0,0.0,20,0.0,71.48,1,jm1
1.0,6135.2,22,0.0,51.63,1,jm1
2.0,10396.13,32,0.11538461538461539,46.38,1,jm1
1.0,2467.17,13,0.0,59.92,1,jm1
3.0,733.33,12,0.0,62.44,1,jm1
1.0,108.97,6,0.0,72.09,1,jm1
3.0,812.63,17,0.07142857142857142,58.48,1,jm1
1.0,225.85,5,0.0,72.5,1,jm1
55.0,0.0,227,0.0,41.21,1,jm1
5.0,55302.55,68,0.018518518518518517,36.69,1,jm1
4.0,3769.56,37,0.20689655172413793,47.26,1,jm1
12.0,61473.97,106,0.1827956989247312,31.48,1,jm1
1.0,237.6,18,0.0,59.48,1,jm1
11.0,46222.9,100,0.20987654320987653,32.39,1,jm1
14.0,47150.8,99,0.0449438202247191,31.79,1,jm1
6.0,28502.18,53,0.05128205128205128,40.75,1,jm1
1.0,60.0,4,0.0,76.39,1,jm1
5.0,0.0,50,0.0,62.27,1,jm1
3.0,656.36,14,0.2222222222222222,61.19,1,jm1
2.0,1100.0,11,0.0,62.46,1,jm1
15.0,74486.0,174,0.2074074074074074,24.74,1,jm1
4.0,5201.91,33,0.0,47.53,1,jm1
1.0,60.0,4,0.0,77.07,1,jm1
